NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-21;Altres;N/A;--;0;0;0;0;46;10;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Entre 15 i 64;No;0;0;0;0;110;13;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Entre 15 i 64;Si;0;0;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Entre 65 i 74;No;0;0;0;0;46;8;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Entre 65 i 74;Si;0;0;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Majors de 74;No;0;0;0;0;115;10;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Majors de 74;Si;0;0;0;0;21;1;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Menors de 15;No;0;0;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-21;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Entre 15 i 64;No;0;0;0;0;227;58;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Entre 15 i 64;Si;0;0;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Entre 65 i 74;No;0;0;0;0;110;26;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Entre 65 i 74;Si;0;0;0;0;3;1;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Majors de 74;No;0;0;0;1;114;8;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Majors de 74;Si;0;0;0;0;7;0;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Menors de 15;No;0;0;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-21;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-20;Altres;N/A;--;0;7;3;2;45;9;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Entre 15 i 64;No;22;441;5;2;107;11;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Entre 15 i 64;Si;1;11;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Entre 65 i 74;No;1;46;2;1;47;9;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Entre 65 i 74;Si;0;0;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Majors de 74;No;4;106;5;0;112;10;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Majors de 74;Si;0;9;2;0;18;1;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Menors de 15;No;2;231;1;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-20;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Entre 15 i 64;No;26;319;11;3;231;57;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Entre 15 i 64;Si;1;10;1;0;5;0;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Entre 65 i 74;No;3;76;3;3;108;26;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Entre 65 i 74;Si;0;0;1;0;3;1;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Majors de 74;No;2;98;4;2;110;11;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Majors de 74;Si;0;10;0;0;8;0;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Menors de 15;No;4;262;1;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-20;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-19;Altres;N/A;--;3;33;4;0;41;8;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Entre 15 i 64;No;107;2226;11;1;101;9;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Entre 15 i 64;Si;0;6;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Entre 65 i 74;No;13;252;0;0;44;7;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Entre 65 i 74;Si;0;9;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Majors de 74;No;11;341;3;1;110;10;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Majors de 74;Si;6;189;1;0;16;1;2
CATALUNYA;CATALUNYA;2020-09-19;Dona;Menors de 15;No;13;844;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-19;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Entre 15 i 64;No;103;1582;13;1;222;56;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Entre 15 i 64;Si;2;16;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Entre 65 i 74;No;19;247;5;3;103;24;1
CATALUNYA;CATALUNYA;2020-09-19;Home;Entre 65 i 74;Si;0;8;0;0;2;1;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Majors de 74;No;7;276;8;1;105;9;3
CATALUNYA;CATALUNYA;2020-09-19;Home;Majors de 74;Si;0;52;1;0;8;0;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Menors de 15;No;21;993;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-19;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-18;Altres;N/A;--;13;116;4;0;40;9;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Entre 15 i 64;No;336;6196;19;0;94;8;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Entre 15 i 64;Si;0;32;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Entre 65 i 74;No;22;582;0;0;44;8;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Entre 65 i 74;Si;0;40;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Majors de 74;No;31;787;10;0;107;11;1
CATALUNYA;CATALUNYA;2020-09-18;Dona;Majors de 74;Si;23;334;1;0;16;1;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Menors de 15;No;83;2022;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-18;Dona;Menors de 15;Si;0;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-18;Home;Entre 15 i 64;No;311;4258;19;5;216;60;1
CATALUNYA;CATALUNYA;2020-09-18;Home;Entre 15 i 64;Si;3;79;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-18;Home;Entre 65 i 74;No;25;583;10;4;102;21;1
CATALUNYA;CATALUNYA;2020-09-18;Home;Entre 65 i 74;Si;1;34;0;0;2;1;0
CATALUNYA;CATALUNYA;2020-09-18;Home;Majors de 74;No;30;683;7;0;102;8;4
CATALUNYA;CATALUNYA;2020-09-18;Home;Majors de 74;Si;9;117;0;0;8;0;0
CATALUNYA;CATALUNYA;2020-09-18;Home;Menors de 15;No;100;2267;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-18;Home;Menors de 15;Si;0;3;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-17;Altres;N/A;--;10;141;3;1;43;9;0
CATALUNYA;CATALUNYA;2020-09-17;Dona;Entre 15 i 64;No;384;6342;15;1;96;10;1
CATALUNYA;CATALUNYA;2020-09-17;Dona;Entre 15 i 64;Si;0;20;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-17;Dona;Entre 65 i 74;No;35;573;2;0;50;8;1
CATALUNYA;CATALUNYA;2020-09-17;Dona;Entre 65 i 74;Si;2;26;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-17;Dona;Majors de 74;No;37;769;5;1;108;12;1
CATALUNYA;CATALUNYA;2020-09-17;Dona;Majors de 74;Si;9;287;0;0;16;1;0
CATALUNYA;CATALUNYA;2020-09-17;Dona;Menors de 15;No;90;1342;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-17;Dona;Menors de 15;Si;0;4;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Entre 15 i 64;No;371;4319;17;3;227;64;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Entre 15 i 64;Si;1;39;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Entre 65 i 74;No;35;572;11;3;99;19;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Entre 65 i 74;Si;0;36;2;0;5;1;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Majors de 74;No;27;625;9;1;116;12;9
CATALUNYA;CATALUNYA;2020-09-17;Home;Majors de 74;Si;3;79;0;0;12;0;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Menors de 15;No;91;1638;0;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-17;Home;Menors de 15;Si;0;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-16;Altres;N/A;--;19;112;4;0;36;9;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Entre 15 i 64;No;411;6104;14;1;91;10;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Entre 15 i 64;Si;8;31;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Entre 65 i 74;No;29;595;7;0;51;8;2
CATALUNYA;CATALUNYA;2020-09-16;Dona;Entre 65 i 74;Si;3;26;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Majors de 74;No;32;761;6;1;116;11;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Majors de 74;Si;14;262;1;1;15;0;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Menors de 15;No;74;1093;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-16;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-16;Home;Entre 15 i 64;No;376;4188;22;4;227;64;1
CATALUNYA;CATALUNYA;2020-09-16;Home;Entre 15 i 64;Si;22;61;1;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-16;Home;Entre 65 i 74;No;26;610;5;3;97;20;2
CATALUNYA;CATALUNYA;2020-09-16;Home;Entre 65 i 74;Si;7;33;0;0;4;1;0
CATALUNYA;CATALUNYA;2020-09-16;Home;Majors de 74;No;34;610;4;1;120;15;7
CATALUNYA;CATALUNYA;2020-09-16;Home;Majors de 74;Si;3;111;2;0;13;0;1
CATALUNYA;CATALUNYA;2020-09-16;Home;Menors de 15;No;95;1263;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-16;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-15;Altres;N/A;--;14;159;2;1;38;8;0
CATALUNYA;CATALUNYA;2020-09-15;Dona;Entre 15 i 64;No;455;7231;14;2;98;9;1
CATALUNYA;CATALUNYA;2020-09-15;Dona;Entre 15 i 64;Si;0;17;1;0;2;0;0
CATALUNYA;CATALUNYA;2020-09-15;Dona;Entre 65 i 74;No;50;750;4;0;46;8;0
CATALUNYA;CATALUNYA;2020-09-15;Dona;Entre 65 i 74;Si;0;26;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-15;Dona;Majors de 74;No;64;891;8;2;123;11;3
CATALUNYA;CATALUNYA;2020-09-15;Dona;Majors de 74;Si;10;273;1;0;17;0;1
CATALUNYA;CATALUNYA;2020-09-15;Dona;Menors de 15;No;92;1189;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-09-15;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-15;Home;Entre 15 i 64;No;397;4815;25;4;220;64;1
CATALUNYA;CATALUNYA;2020-09-15;Home;Entre 15 i 64;Si;0;26;0;0;4;0;0
CATALUNYA;CATALUNYA;2020-09-15;Home;Entre 65 i 74;No;34;746;11;1;95;19;0
CATALUNYA;CATALUNYA;2020-09-15;Home;Entre 65 i 74;Si;0;17;0;0;5;1;0
CATALUNYA;CATALUNYA;2020-09-15;Home;Majors de 74;No;29;723;9;0;127;15;3
CATALUNYA;CATALUNYA;2020-09-15;Home;Majors de 74;Si;6;93;1;0;12;0;1
CATALUNYA;CATALUNYA;2020-09-15;Home;Menors de 15;No;94;1397;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-15;Home;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-14;Altres;N/A;--;28;178;10;0;43;9;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Entre 15 i 64;No;478;5765;11;0;99;10;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Entre 15 i 64;Si;3;48;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Entre 65 i 74;No;38;607;3;0;47;8;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Entre 65 i 74;Si;1;39;0;0;3;0;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Majors de 74;No;44;748;5;1;128;10;5
CATALUNYA;CATALUNYA;2020-09-14;Dona;Majors de 74;Si;19;567;1;0;17;0;4
CATALUNYA;CATALUNYA;2020-09-14;Dona;Menors de 15;No;66;881;0;0;2;1;0
CATALUNYA;CATALUNYA;2020-09-14;Dona;Menors de 15;Si;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-09-14;Home;Entre 15 i 64;No;463;4113;18;4;223;60;0
CATALUNYA;CATALUNYA;2020-09-14;Home;Entre 15 i 64;Si;10;80;0;0;4;0;1
CATALUNYA;CATALUNYA;2020-09-14;Home;Entre 65 i 74;No;50;646;4;0;97;19;0
CATALUNYA;CATALUNYA;2020-09-14;Home;Entre 65 i 74;Si;0;48;0;0;5;1;0
CATALUNYA;CATALUNYA;2020-09-14;Home;Majors de 74;No;27;622;16;1;122;14;2
CATALUNYA;CATALUNYA;2020-09-14;Home;Majors de 74;Si;2;199;2;0;11;0;3
CATALUNYA;CATALUNYA;2020-09-14;Home;Menors de 15;No;87;999;2;0;5;0;0
